ID	Dcode
1	1
2	4
3	19
4	1
5	31
6	23
7	5
8	7
9	6
10	5
11	7
12	18
13	5
14	13
15	13
16	16
17	10
18	20
19	13
20	5
21	10
22	1
23	6
24	2
25	29
26	16
27	1
28	0
29	8
30	5
31	21
32	19
33	33
34	19
35	12
36	25
37	26
38	7
39	6
40	5
41	5
42	26
43	32
44	29
45	2
46	16
47	13
48	12
49	20
50	19
51	7
52	5
53	11
54	18
55	22
56	32
57	11
58	13
59	19
60	5
61	5
62	24
63	32
64	32
65	2
66	10
67	13
68	7
69	0
70	32
71	22
72	23
73	23
74	4
75	15
76	5
77	7
78	12
79	14
80	14
81	4
82	2
83	16
84	14
85	13
86	5
87	16
88	15
89	10
90	5
91	26
92	23
93	22
94	23
95	5
96	13
97	20
98	7
99	33
100	26
101	5
102	13
103	5
104	11
105	12
106	9
107	23
108	19
109	20
110	33
111	20
112	7
113	28
114	28
115	19
116	28
117	13
118	7
119	28
120	20
121	20
122	33
123	5
124	21
125	1
126	11
127	8
128	13
129	10
130	19
131	13
132	19
133	13
134	20
135	13
136	24
137	13
138	19
139	6
140	18
141	10
142	13
143	13
144	18
145	5
146	20
147	14
148	13
149	2
150	25
151	5
152	18
153	21
154	7
155	13
156	23
157	5
158	18
159	23
160	14
161	2
162	16
163	13
164	15
165	23
166	10
167	5
168	32
169	10
170	5
171	13
172	10
173	2
174	25
175	6
176	13
177	21
178	19
179	25
180	20
181	16
182	5
183	18
184	20
185	1
186	31
187	2
188	12
189	19
190	7
191	20
192	20
193	28
194	16
195	20
196	7
197	0
198	32
199	9
200	16
201	5
202	32
203	5
204	5
205	20
206	33
207	26
208	11
209	9
210	23
211	2
212	16
213	23
214	25
215	33
216	4
217	1
218	1
219	23
220	19
221	20
222	23
223	25
224	23
225	20
226	20
227	11
228	23
229	5
230	11
231	9
232	12
233	4
234	16
235	16
236	20
237	21
238	28
239	23
240	14
241	24
242	5
243	16
244	12
245	5
246	12
247	19
248	19
249	26
250	13
251	20
252	1
253	17
254	5
255	6
256	13
257	13
258	9
259	11
260	11
261	5
262	6
263	23
264	13
265	5
266	13
267	19
268	32
269	4
270	2
271	29
272	5
273	26
274	8
275	26
276	23
277	4
278	5
279	5
280	21
281	32
282	17
283	12
284	23
285	4
286	5
287	5
288	23
289	26
290	18
291	9
292	28
293	0
294	20
295	15
296	14
297	18
298	20
299	17
300	7
301	29
302	20
303	19
304	20
305	1
306	28
307	2
308	19
309	5
310	32
311	32
312	5
313	14
314	15
315	20
316	16
317	12
318	20
319	17
320	32
321	12
322	15
323	19
324	23
325	32
326	16
327	32
328	2
329	9
330	10
331	21
332	20
333	14
334	18
335	12
336	14
337	6
338	5
339	33
340	21
341	10
342	20
343	16
344	5
345	20
346	13
347	10
348	21
349	21
350	13
351	21
352	9
353	32
354	10
355	15
356	14
357	20
358	28
359	20
360	11
361	26
362	21
363	10
364	16
365	5
366	13
367	6
368	5
369	15
370	24
371	11
372	20
373	16
374	7
375	11
376	14
377	13
378	33
379	23
380	10
381	2
382	25
383	5
384	4
385	21
386	4
387	5
388	21
389	13
390	20
391	33
392	28
393	5
394	1
395	20
396	1
397	16
398	2
399	16
400	21
401	19
402	22
403	19
404	20
405	32
406	20
407	18
408	13
409	2
410	5
411	7
412	21
413	18
414	13
415	10
416	5
417	1
418	16
419	24
420	21
421	18
422	5
423	2
424	33
425	5
426	14
427	5
428	20
429	20
430	13
431	26
432	7
433	8
434	32
435	23
436	10
437	21
438	28
439	6
440	9
441	33
442	13
443	29
444	5
445	9
446	4
447	18
448	15
449	19
450	7
451	12
452	19
453	23
454	13
455	12
456	13
457	5
458	5
459	25
460	26
461	17
462	16
463	20
464	26
465	13
466	13
467	29
468	19
469	5
470	12
471	19
472	1
473	5
474	5
475	17
476	2
477	13
478	17
479	32
480	17
481	10
482	9
483	12
484	1
485	12
486	19
487	10
488	12
489	0
490	5
491	12
492	19
493	18
494	32
495	26
496	1
497	16
498	13
499	13
500	19
501	19
502	33
503	18
504	0
505	16
506	1
507	20
508	5
509	13
510	14
511	5
512	15
513	1
514	1
515	9
516	2
517	20
518	16
519	14
520	14
521	1
522	17
523	20
524	5
525	12
526	21
527	33
528	13
529	24
530	13
531	5
532	5
533	1
534	29
535	20
536	20
537	2
538	29
539	29
540	16
541	33
542	7
543	11
544	33
545	24
546	20
547	2
548	21
549	13
550	12
551	23
552	26
553	23
554	23
555	12
556	10
557	19
558	20
559	15
560	16
561	26
562	13
563	1
564	31
565	20
566	15
567	26
568	20
569	16
570	0
571	6
572	2
573	9
574	21
575	13
576	2
577	29
578	18
579	5
580	28
581	28
582	13
583	23
584	20
585	14
586	14
587	5
588	18
589	9
590	23
591	33
592	11
593	20
594	5
595	20
596	14
597	18
598	4
599	12
600	19
601	29
602	7
603	13
604	20
605	15
606	12
607	21
608	23
609	23
610	7
611	23
612	13
613	1
614	8
615	21
616	2
617	18
618	2
619	7
620	18
621	12
622	1
623	19
624	14
625	20
626	4
627	5
628	5
629	13
630	13
631	1
632	31
633	5
634	29
635	12
636	5
637	23
638	23
639	14
640	18
641	6
642	2
643	14
644	28
645	12
646	13
647	10
648	15
649	33
650	22
651	10
652	23
653	9
654	5
655	13
656	15
657	26
658	21
659	8
660	20
661	15
662	33
663	19
664	13
665	2
666	13
667	5
668	15
669	21
670	5
671	21
672	33
673	11
674	19
675	8
676	10
677	12
678	15
679	12
680	20
681	20
682	29
683	32
684	5
685	21
686	11
687	21
688	14
689	24
690	20
691	19
692	8
693	13
694	32
695	20
696	18
697	1
698	29
699	14
700	11
701	25
702	25
703	2
704	20
705	5
706	21
707	20
708	13
709	33
710	22
711	6
712	20
713	5
714	21
715	1
716	5
717	4
718	13
719	8
720	5
721	24
722	19
723	13
724	32
725	12
726	33
727	23
728	2
729	11
730	31
731	33
732	14
733	9
734	9
735	7
736	28
737	13
738	11
739	8
740	2
741	13
742	14
743	20
744	24
745	12
746	23
747	13
748	13
749	18
750	23
751	12
752	13
753	13
754	5
755	13
756	26
757	25
758	15
759	5
760	2
761	2
762	17
763	22
764	19
765	13
766	32
767	28
768	14
769	25
770	13
771	5
772	19
773	13
774	2
775	28
776	14
777	0
778	16
779	4
780	13
781	32
782	28
783	20
784	13
785	26
786	19
787	21
788	20
789	20
790	23
791	20
792	25
793	4
794	32
795	20
796	21
797	5
798	5
799	19
800	18
801	16
802	29
803	18
804	32
805	16
806	13
807	26
808	18
809	1
810	20
811	2
812	23
813	1
814	20
815	20
816	20
817	1
818	29
819	13
820	29
821	23
822	13
823	5
824	5
825	11
826	25
827	5
828	19
829	14
830	5
831	29
832	17
833	20
834	5
835	26
836	14
837	10
838	19
839	25
840	13
841	5
842	20
843	6
844	33
845	5
846	19
847	13
848	32
849	2
850	12
851	21
852	5
853	1
854	16
855	8
856	9
857	7
858	10
859	4
860	33
861	19
862	20
863	15
864	2
865	7
866	20
867	14
868	4
869	13
870	23
871	13
872	14
873	20
874	10
875	13
876	10
877	24
878	5
879	20
880	20
881	13
882	21
883	4
884	12
885	20
886	25
887	2
888	19
889	5
890	14
891	5
892	20
893	26
894	32
895	23
896	5
897	13
898	6
899	21
900	21
901	9
902	10
903	23
904	14
905	6
906	1
907	23
908	16
909	20
910	2
911	15
912	18
913	26
914	25
915	25
916	12
917	25
918	20
919	20
920	5
921	25
922	33
923	5
924	19
925	9
926	13
927	13
928	14
929	23
930	13
931	28
932	6
933	10
934	20
935	13
936	17
937	4
938	21
939	13
940	17
941	16
942	29
943	23
944	10
945	14
946	17
947	10
948	6
949	29
950	10
951	14
952	13
953	25
954	18
955	7
956	26
957	12
958	14
959	21
960	20
961	10
962	17
963	29
964	32
965	13
966	18
967	1
968	29
969	6
970	19
971	5
972	20
973	33
974	15
975	20
976	18
977	12
978	29
979	11
980	25
981	23
982	17
983	26
984	18
985	7
986	23
987	29
988	1
989	19
990	17
991	25
992	32
993	5
994	19
995	29
996	5
997	13
998	7
999	13
1000	19
1001	5
1002	21
1003	8
1004	32
1005	10
1006	1
1007	5
1008	19
1009	4
1010	20
1011	5
1012	1
1013	13
1014	13
1015	16
1016	17
1017	5
1018	10
1019	20
1020	19
1021	16
1022	19
1023	31
1024	13
1025	9
1026	10
1027	26
1028	7
1029	20
1030	10
1031	23
1032	29
1033	13
1034	8
1035	6
1036	14
1037	20
1038	15
1039	18
1040	20
1041	16
1042	20
1043	29
1044	20
1045	14
1046	13
1047	19
1048	13
1049	13
1050	25
1051	5
1052	33
1053	18
1054	15
1055	14
1056	15
1057	4
1058	20
1059	0
1060	12
1061	20
1062	15
1063	25
1064	9
1065	21
1066	25
1067	25
1068	17
1069	21
1070	19
1071	25
1072	8
1073	13
1074	26
1075	9
1076	4
1077	32
1078	17
1079	4
1080	20
1081	33
1082	5
1083	8
1084	16
1085	17
1086	24
1087	21
1088	5
1089	4
1090	4
1091	31
1092	22
1093	5
1094	20
1095	14
1096	1
1097	33
1098	32
1099	20
1100	9
1101	2
1102	5
1103	13
1104	25
1105	33
1106	32
1107	23
1108	5
1109	32
1110	12
1111	20
1112	23
1113	9
1114	9
1115	2
1116	26
1117	16
1118	5
1119	23
1120	17
1121	5
1122	13
1123	10
1124	32
1125	4
1126	21
1127	19
1128	2
1129	17
1130	28
1131	20
1132	20
1133	5
1134	20
1135	32
1136	28
1137	5
1138	15
1139	9
1140	25
1141	7
1142	21
1143	19
1144	8
1145	23
1146	5
1147	15
1148	5
1149	19
1150	8
1151	21
1152	13
1153	12
1154	4
1155	18
1156	20
1157	5
1158	33
1159	15
1160	33
1161	23
1162	19
1163	19
1164	32
1165	1
1166	5
1167	0
1168	14
1169	29
1170	12
1171	16
1172	1
1173	21
1174	20
1175	15
1176	29
1177	20
1178	33
1179	19
1180	20
1181	4
1182	2
1183	32
1184	5
1185	32
1186	14
1187	8
1188	5
1189	23
1190	19
1191	20
1192	14
1193	6
1194	12
1195	6
1196	9
1197	15
1198	5
1199	19
1200	16
1201	6
1202	1
1203	29
1204	5
1205	25
1206	9
1207	5
1208	0
1209	16
1210	23
1211	23
1212	13
1213	5
1214	20
1215	25
1216	12
1217	29
1218	33
1219	13
1220	13
1221	10
1222	2
1223	25
1224	6
1225	5
1226	13
1227	5
1228	5
1229	32
1230	33
1231	13
1232	5
1233	16
1234	16
1235	5
1236	19
1237	2
1238	0
1239	19
1240	10
1241	13
1242	1
1243	2
1244	4
1245	2
1246	5
1247	19
1248	29
1249	11
1250	17
1251	20
1252	24
1253	13
1254	16
1255	1
1256	13
1257	13
1258	20
1259	15
1260	4
1261	19
1262	19
1263	15
1264	13
1265	9
1266	4
1267	8
1268	23
1269	13
1270	12
1271	15
1272	19
1273	12
1274	19
1275	23
1276	0
1277	13
1278	8
1279	23
1280	16
1281	12
1282	32
1283	28
1284	6
1285	32
1286	20
1287	24
1288	5
1289	10
1290	12
1291	32
1292	10
1293	4
1294	1
1295	29
1296	10
1297	29
1298	19
1299	20
1300	4
1301	15
1302	26
1303	21
1304	26
1305	18
1306	2
1307	13
1308	8
1309	13
1310	16
1311	18
1312	16
1313	1
1314	1
