ID	Descr
1	A continuation of PHYS-110 for life science students, treating electricity and magnetism, electric circuits, waves and optics, and elementary topics in atomic and nuclear physics. Includes applications to biological systems. Three hours of lectures and one three-hour laboratory period a week. Lab fee.
2	Open to juniors and seniors who wish to work independently on a topic of special interest, with the approval of an instructor and the department. The topics will be pursued through private discussion, independent reading, an extensive written report, and an oral examination by two members of the department.
3	This course is designed to help students gain confidence and fluency in communicating arguments orally. Introducing students to basic theories and concepts of public speaking, this course explores how verbal and nonverbal communication impacts the rhetorical effectiveness of public speakers. Students will critique, analyze, compose, and perform
4	This course serves as an introduction to the basic principles of Astronomy. The course is taught more technical level than ASTR 010, and is intended for science majors. Topics include the history of Astronomy, the Solar System, stars, galaxies, the structure and evolution of the Universe, and the origin and evolution of life. Emphasis is placed on the quantitative and qualitative description of astronomical objects, the methods of scientific deduction, and the implications of astronomical knowledge. Opportunities for field and laboratory work will be
5	This course will cover selected topics at an intermediate level. Topics to include but not limited to anatomy and physiology, aging, women, children, complimentary and alternative approaches to health and an upper level nutrition course. Course may be repeated twice for credit with different topics.
6	The study of select problems such as equality, minority rights, majoritarianism, and participatory democracy in the light of the theory and practice of the American political system. (May be taken more than once with different content. Consult Fall and Spring Schedules for specific topics.) An additional fee may be required, depending on the topic
7	A survey of the factors and forces that made Modern French
8	This course provides an overview of current information systems and data management concepts from an analytics perspective. Students will be equipped with the skills needed for data querying for analytics, database management and reporting. Issues associated with managing large, unwieldy and poorly structured data sets will be discussed. Topics are expected to change as new issues, technologies emerge.
9	This capstone course gives students the opportunity to assimilate, integrate, and apply the knowledge and skills learned in the MBA core curriculum. Students will complete either a consulting or an applied research project that reflects the application, synthesis and evaluation of the concepts and issues studied throughout the MBA program. This multidisciplinary course emphasizes strategic decision making in an uncertain environment; economic, social, and environmental sustainability; leadership and communication; and the importance of personal and organizational adaptation to change. The course emphasizes the integration of various business perspectives and experiential collaboration. Prerequisite: Permission of Program Director required.
10	It has often been noted that the Western tradition stands upon two great pillars: the Greco-Roman and the JudeoChristian traditions. This course will give the student a broad introduction into the culture and civilization of the Roman people and how they still influence us. Within the course students will study the broad lines of Roman history, the major literary figures and their works, the principal ideas and institutions that informed Roman society, the great achievements in art and architecture, Roman religious practice, and the ways in which the ancient Romans live on into the present day and why
11	This course builds on the knowledge base contained in previous courses taken by acturial students. The goal is to reinforce understanding of the fundamental concepts of financial mathematics, and how those concepts are applied in calculating present and accumulated values for various streams of cash flows as a basis for future use. Students will review basic financial instruments and expand their knowledge base to more modern financial analysis using yield curves, spot rates and immunization. Finally students will be introduced to the concept of risk management and understand how principles such as derivatives, forwards, futures, short and long positions, call and put options, spreads, collars, hedging, arbitrage, and swaps affect a
12	A study of the interrelations of organisms with each other and the environment. The lectures are equally divided between ecosystem ecology (energy and material flux, modeling), population ecology (population dynamics, competition, predation) and community ecology (structure, diversity, and succession). The lab will emphasize methodology with weekly field trips to various local
13	A study of the epic narratives of Greece and Rome, including among others, Homer's Iliad and Odyssey, Apollonius' Argonautica, Vergil's Aeneid, and Ovid's Metamorphoses. A variety of interpretive approaches will be used in a close reading of the primary texts. The course will focus on the development and transformation of the epic tradition throughout the course of antiquity, its shifting focus, themes, values, methods, cultural assumptions, and
14	A study of the course of black history in the United States, including migration to English America, slavery, emancipation, segregation, rise of organized protest movements, and the civil rights revolution, as well as a consideration of the influence of blacks upon various phases of American political, social, economic, and intellectual development.
15	A survey of the origins and development of the North American colonies from initial European discovery through the end of the French and Indian War. Particular emphasis will be on the 13 British colonies that would become the United States. Topics will include European and Native American background to settlement, cultural interaction between European colonists and Native Americans, the origins and development of African-American slavery, cultural and religious developments, the European wars for control of North America, and the economic and political maturation of the colonies.
16	This course involves the in-depth study of advanced managerial accounting techniques and theories. Topics will include the following: working capital, capital budgeting, CVP analysis, decision making, cost allocation, master budget, variances, responsibility accounting, quality control, benchmarking, strategy, best practices, ethics, and other current managerial accounting topics.
17	The course introduces mathematical probability to understand variation and variability. Methods of enumeration, conditional probability, independent events, and Bayes' Theorem are developed in a general environment. Among the continuous and discrete probability distributions derived and studied are the Bernoulli distribution and distributions based on it, the uniform, exponential, normal, Gamma and Chi Square distributions. The Central Limit Theorem leads to approximations for discrete distributions. Chebyshev's Inequality prepares the student for Inferential Statistics.
18	An advanced studio course exploring traditional photographic concerns in the digital format. Advanced techniques of camera, Photoshop and lighting equipment will be addressed. Students will be exposed to work of past and contemporary artists from diverse backgrounds. A student must provide a DSLR camera.
19	The emergence of modern England during the reigns of the Tudors, Stuarts and first four Hanoverians, with emphasis on political, social and economic changes.
20	A continuation of RUSS-101 
21	This introductory statistics course will provide an introduction to descriptive and inferential statistics with an emphasis on computation using current statistical software packages. Note: Requires a laptop.
22	Astrophysics is the application of physical principles to astronomical systems. Astrophysicists use their knowledge of physics to explain observations of astronomical phenomena, drawing upon a wide range of subjects in physics, including classical mechanics, quantum and atomic physics, thermodynamics, electromagnetism, chemistry,and nuclear physics, among others. In this two-semester introduction to astrophysics you will learn how to use a variety of physical principles to understand the characteristics and evolution of planets, stars, galaxies, and the Universe as a whole. In this course the thematic focus will be on using stellar physics to understand the constituents (stars, planets, heavy elements) and physical evolution of the cosmos. Among the topics we will explore include planetary and stellar atmospheres, stellar structure and evolution, degenerate stars (white dwarfs and neutron stars), star, galaxy, and planet formation, and the origin of primordial elements synthesized moments after the Big
23	This course is intended to provide opportunities for concentrated study at an advanced level in areas beyond the scope of regular course offerings. Consult Fall and Spring schedules for specific topics. May be taken more than once with different contents. 
24	Original laboratory and literature research under the direction of a faculty member. The course is arranged by mutual consent of student and faculty member. 
25	This course is designed to extend students' knowledge of research methods beyond PSYC-300 and to give students opportunities to apply their knowledge by conducting original research. Advanced topics in research design and statistical analysis, including the use of computer software are featured. An oral presentation and formal written report of the investigation are required. Lab fee.
26	The course is intended to provide opportunities for concentrated study at an advanced level in areas beyond the scope of regular course offerings including topics of current concern and topics specifically identified as meeting specialized interests of students. This course is offered on an irregular basis. It may be taken more than once with different course content. The seminar is an elective open to seniors in accounting. Depending on the topic, specific background might be required, and also it might be cross-listed with other Departments and/or be open to seniors in other majors. Approval of the Instructor is
27	Same as PHYS-220, but without laboratory. Offered to nonPhysics majors only.
28	Field Study in service and advocacy among the poor and marginalized in the local community (i.e. Capital Region). Students will be expected to work in the field for 40 hours for each credit earned. Students will be required to keep a journal/log of their activities, to attend scheduled classroom seminars and to prepare a final report a paper or a presentation on a project. Students may receive a maximum of 6 credit hours in internship courses, college-wide. Students will work with the Coordinator of the Internship in Franciscan Service and Advocacy to select an appropriate site and to determine the suitable form of the final report. Pass/Fail credit will
29	This course is an introduction to the study of gender in schools using a cross-cultural perspective. The course will examine the social and cultural construction of gender, gender roles, and the institutions that influence, and are influenced by, gender. Central to the course is the investigation of how gender and sexuality exist today, how they have changed over time and place, and their relevance to schools in both industrial and developing societies. Specific topics include: the cultural construction of gender and personhood; sexuality and the body; the sexual division of labor; kinship; property and the state; politics and reproduction; and the global economy. We will examine the following school based topics as well: models and outcomes of single sex education, discrimination based on gender, sex, and sexuality, the Similarity hypothesis among others. To this end, the course will critically examine the interconnections between gender, sexuality, power, inequality, and access to education. This course fulfills a requirement for the Minor in Educational Studies, Multicultural Studies Minor, and the Women's Gender, and Sexuality Studies Minor.
30	The main goal of this course is to improve the students' grammatical knowledge in general, and more specifically, of the Spanish language and its usage. This will be accomplished through studying the principles of Spanish grammar, writing compositions, reading cultural articles and literary selections in Spanish from Spain and Latin America, and through oral practice. The course takes into consideration the differences in grammatical and lexical usage in the different countries where Spanish is spoken, thus providing an insight into cultural and linguistic differences. Emphasis is given to improving pronunciation and becoming familiar with linguistic
31	A study of the foundations of Christian belief. Basic themes in Christian thought such as the meaning of human existence, the experience of God, the significance of evil, and the community as focus of God's activity will be explored in terms of the person and work of Jesus.
32	Early American Literature examines the origins and developments of the American literary traditions from the period of European expansion through the establishment of the early American republic. Students may read authors such as Bradford, Jefferson, Knight, Sedgwick, Cooper, Adams, Rowson, and Brown.
33	A study of options, futures, convertibles, warrants and other innovative derivatives and swap-like securities. Various trading and hedging strategies, option valuation models, and general market structures will also be covered in this course. This course requires oral and written pre-
34	An intoduction to the basic techniques of journalistic writing. Among the areas covered are: conducting interviews, researching news stories, examining categories of journalistic writing, journalistic ethics.
35	This course is designed to give a firm background in classical animal embryology, as well as to introduce current questions of developmental biology at cellular, tissue, and organismal levels. Topics include gametogenesis, fertilization, early development and organogenesis. Lab fee.
36	An analytical approach to the economic problems of the developing countries. The course includes a discussion of the theories of economic growth and development, including domestic and international issues. This material is augmented by the use of empirical studies of the developmen-
37	Managing effectively in a constantly changing business environment is an essential requirement for business success. This applies to all businesses, including food retailers. Increasingly, food retailers are being challenged to develop strategic plans that will guide their businesses to success and profitability. The objective of the course will be to familiarize students with the global retail industry at all levels and in all segmentsthen take a deeper focus in the application of these principles to food retailing and marketing. Basics of food distribution, wholesaling and retailing, both on the retail and foodservice sides of the business, will be covered. The course will also cover the critical issues affecting the industry, including the decline of food at home, the growth of foodservice, and the food-away-from-home market, and the impact of consolidation. Category management will be an area of emphasis in this course. Students will focus on retailing and purchasing data to analyze groups of products purchased by a business organization or sold by a retailer, building competency in the art and science of category management.
38	An introductory course in business statistics covering the topics of descriptive statistics, discrete probability distributions, the normal distribution, sampling distributions, estimation, hypothesis testing, statistical quality control, simple linear regression and correlation. A statistical software package is used. Not open to students Bayesian decision making, time series, discriminant analysis and autoregressive modeling.
39	A student may earn 3-8 credits by serving as an intern in a foreign country. Placements are available for students from each School. The nature of the internship will determine which School will allocate credit. Typical opportunities include work in parliaments, law offices, theatres, museums, non-profit organizations, banking, hospitals and businesses. Students will work from 10 to 32 hrs. a week, depending on the program selected. The internship will involve a sizeable research project linked to the work undertaken. The GPA requirement is 2.75.
40	A continuation of ITAL 201. 
41	A systematic presentation of the more complex points of French grammar. An application of these grammatical principles will be demonstrated through extensive written exercises, including translations and original compositions.
42	This course focuses on the latest marketing communication practices, knwn as integrated marketing communications (IMC), featuring an overview of the major media, including broadcast, print, outdoor, point of purchase, direct mail, Internet, telemarketing, public relations, promotion, and more. The emphasis is on how to analyze and create an IMC program by using the latest valuebased marketing concepts and measuring ""return on communications investment."" Through individual analysis and discussion of case studies, students learn how to apply core marketing principles by using the latest IMC methods and communications tools.
43	This course concentrates on one area of sociological research or theory not covered in regular course offerings. May be taken more than once with different content. Consult
44	This course will introduce students to the basic concepts and methods associated with the interdisciplinary study of cognition, focusing on research from philosophy, psychology, and computer science. We will focus on representation and computation, learning and problem solving, and the nature of mind, perception, intention, emotion, and consciousness, as well as attempts to model human cognition. Students should come away from the course with a better understanding of the nature of the mind, human cognition, and
45	An extensive treatise on molecular orbital theory/bonding, symmetry/group theory, spectroscopy, kinetics/reaction mechanisms, and photochhemistry of transition metal coordination compounds. Special topics such as the chemistry of metalloenzymes, organometallic compounds, the chemistry of materials, or industrial catalysis may also be covered as
46	A qualified student may pursue a particular project/topic in the field of Accounting in his/her junior or senior year. The project requires the approval of the faculty member involved and the Department Head. A satisfactory written report and/or examination will determine the final grade. Only one independent project may be undertaken in any academic year. The student must possess adequate preparation in the field that will be studied as determined by the professor. 
47	The course will consider the politics, culture, economics, and society of the United States from the end of World War I, through the 1920s, the Great Depression, and
48	An introduction to the statistical principles and methods most commonly used by biologists. Topics will include probability, inference, hypothesis testing, regression and multiple regression, general linear models, parametric and non-parametric tests, permutation, simulation, and bootstrapping. Laboratories will permit hands-on application of concepts from lecture to real biological data sets, building the programming skills needed to use modern statistical software.
49	This is a study of musics of the world. We will also examine the context in which the music may be heard, such as dance, theatre, or religious ceremonies. We will explore relationships between music and other art forms, such as calligraphy, painting, and architecture. In other words, we will study the people through their musical practices. Reading or writing music is not required for this class.
50	This course examines film as a textual form and attends to the formal and political dynamics of the history of film. By focusing on a director or a theme, students will learn how to analyze film and how to formulate arguments about film informed by cultural studies and film theory. The course will mostly be dovoted to how we understand the textual elements of cinema: narrative, symbolism, characterization, and plot. However, it will also examine how that content is reflected in the technical formal elements of cinema: cinematography, mise en scene, editing, and sound.
51	Time Series data occur when describing trends or when tracking internal organizational practices which may have internal structures such as autocorrelation, seasonal variation, and cyclical trends. Techniques for exploring this type of data include regression, autoregressive modeling, random walks, smoothing and decomposition on time series, and qualitative techniques.
52	A continuation of the work of French Conversation I but with stress upon more complicated structures, more extensive and specialized vocabularies. The aim is to prepare the student for increased ease and ability to carry on day-to-day activities in French.
53	The students listen to a guest speaker each week to become familiar with options in the field of engineering. 
54	The major themes of Earth Science are (1) the geographic location and global distribution of natural earth phenomena, (2) the origin and interpretation of these phenomena within the framework of a hierarchy of interacting physical systems and mechanisms , and (3) the impact of past and present human activities on the natural balance of these systems and mechanisms. Topics include climate and weather; atmospheric, surface, and subsurface water; soils and soil processes; natural vegetation; landforms; and diastrophic,
55	This course provides an overview of current information systems and data management concepts from an analytics perspective. Students will be equipped with the skills needed for data querying for analytics, database management and reporting. Issues associated with managing large, unwieldy and poorly structured data sets will be discussed. Topics are expected to change as new issues, technologies emerge.
56	A special topic will be selected for intensive study and discussion. Consult fall and spring schedules for specific information. May be taken more than once with different content. 
57	This course will be the second in a series to continue to introduce students to the concepts of anatomy and physiology of the human body. This course is a systematic integration of the structure and function of the cells, tissues, organs, and systems of the body. This course is designed for those students preparing for a career in the health professions. Biology majors may not use this course to fulfill requirements for the Biology major or minor.
58	This course is the capstone course for American Studies majors and minors. It is an intensive reading and discussion seminar that covers the development of the field of American Studies, as well as current theory and debates. AMST-450 is typically taken during the second semester of the junior
59	This course examines English language literature and culture from the late eighteenth to early nineteenth centuries, and allows students to explore themes related to this time of revolutionary change and political and social upheaval. Bracketed by the end of the Enlightenment, as well as the French Revolution, and the start of the Victorian Era, the Romantic period witnessed the emergence of new literary approaches that emphasized nature, the individual, and the imagination. Works by authors such as Austen, Baillie, Blake, Byron, Coleridge, Keats, the Shelleys, and Wordsworth may be included.
60	A survey course that studies a variety of primary documents such as historical texts and images to understand the history of Spain and Latin American countries from prehistoric times to the present. It focuses on specific historical moments throughout the Spanish-speaking world, as well as on a diverse range of written and audio-visual material including short stories, essays, visual art, film and music among others. The goal of this course is to promote critical thinking and an appreciation of cultural practices and perspectives of Latin America and Spain through exposure to the language, literatures, and cultures of Spanish speaking countries.
61	A Spanish major may work independently on a topic of special interest. The student consults with the professor with whom he/she decides on a study that will permit a definite accomplishment by the end of the semester. This study must be approved by the Department Head and the Dean of Liberal Arts. In a term paper or essay he/she is expected to demonstrate familiarity with the tools basic to his/her study, and an awareness of the methods appropriate to pursuing his/ her interest.
62	This course deals with topics and themes which cross normal disciplinary boundaries. The particular content will be indicated by subtitle. The course may be taken more than once with different content. Prerequisites will be set by the faculty teaching a specific course under this rubric. 
63	This course provides field experience in community service
64	The study of formal organizations in a comparative framework. the course will examine the social causes of the development of formal organizations, analyze the internal structure of some types of formal organizations such as corporations, government agencies, hospitals, and universities, and look at the impact of that structure on the achievement of individual, organizational, and societal goals.
65	This course delves into the interdisciplinary field of Chemical Ecology through lectures and a week-long trip to Florida during Spring Break. Chemical Ecology is the study of how organisms interact through chemical means. We will explore topics including pheromones, hormones, chemical defenses, sequestration of chemicals, and biosynthetic origins of molecules. Prior to the trip to Florida, you will be provided with the fundamental knowledge base upon which you can build through experiential learning. The trip to Florida will include a 5 day/5 night stay at an independent biological research station (The Archbold Biological Station). Once in Florida, we will explore the world of chemical ecology through the primary literature talks by the professor, guest lectures, and hands-on experience. There is a field trip fee.
66	Applications of Fourier series and expansions to the solution of the classical partial differential equations of mathematical physics and an introduction to complex
67	A general survey of the history and cultures of the island countries of Southeast Asia: Indonesia, Malaysia, and the Philippines, and Singapore.
