ID	Pcode
1	4
2	49
3	57
4	54
5	14
6	1
7	27
8	52
9	3
10	18
11	52
12	41
13	18
14	24
15	24
16	29
17	51
18	19
19	24
20	33
21	51
22	4
23	6
24	56
25	23
26	37
27	4
28	0
29	32
30	42
31	28
32	31
33	46
34	57
35	36
36	25
37	8
38	52
39	3
40	7
41	27
42	8
43	17
44	20
45	56
46	37
47	24
48	36
49	19
50	31
51	34
52	27
53	13
54	41
55	38
56	17
57	13
58	5
59	31
60	42
61	42
62	48
63	17
64	17
65	56
66	51
67	24
68	34
69	0
70	17
71	38
72	1
73	1
74	49
75	55
76	16
77	52
78	36
79	44
80	44
81	49
82	56
83	37
84	44
85	24
86	42
87	37
88	55
89	51
90	27
91	8
92	45
93	38
94	1
95	27
96	24
97	19
98	52
99	46
100	8
101	9
102	24
103	18
104	13
105	36
106	2
107	1
108	31
109	19
110	46
111	19
112	52
113	50
114	50
115	31
116	50
117	24
118	52
119	50
120	19
121	35
122	46
123	27
124	28
125	54
126	13
127	32
128	24
129	51
130	31
131	24
132	31
133	24
134	19
135	24
136	48
137	24
138	31
139	3
140	41
141	51
142	24
143	24
144	41
145	43
146	19
147	44
148	24
149	56
150	25
151	33
152	41
153	28
154	52
155	24
156	1
157	18
158	41
159	45
160	44
161	56
162	29
163	24
164	55
165	1
166	51
167	27
168	17
169	51
170	27
171	24
172	51
173	56
174	25
175	3
176	24
177	28
178	31
179	25
180	19
181	37
182	42
183	41
184	19
185	26
186	14
187	56
188	36
189	31
190	52
191	19
192	19
193	50
194	37
195	19
196	52
197	0
198	17
199	2
200	37
201	42
202	17
203	9
204	42
205	19
206	46
207	8
208	13
209	2
210	45
211	56
212	10
213	45
214	25
215	46
216	49
217	26
218	4
219	1
220	31
221	19
222	1
223	25
224	1
225	19
226	19
227	13
228	1
229	7
230	13
231	2
232	36
233	49
234	29
235	29
236	19
237	28
238	50
239	1
240	44
241	48
242	40
243	29
244	36
245	27
246	36
247	57
248	31
249	8
250	24
251	19
252	4
253	21
254	42
255	6
256	24
257	24
258	2
259	13
260	13
261	27
262	3
263	1
264	24
265	33
266	24
267	31
268	17
269	49
270	56
271	23
272	9
273	8
274	32
275	8
276	1
277	49
278	42
279	27
280	28
281	17
282	21
283	36
284	1
285	49
286	43
287	42
288	1
289	8
290	41
291	2
292	50
293	0
294	19
295	55
296	44
297	41
298	19
299	21
300	52
301	23
302	19
303	31
304	19
305	4
306	50
307	56
308	31
309	16
310	17
311	17
312	18
313	44
314	55
315	19
316	29
317	36
318	19
319	21
320	17
321	36
322	55
323	31
324	1
325	17
326	10
327	17
328	56
329	53
330	51
331	28
332	19
333	44
334	41
335	36
336	44
337	3
338	18
339	46
340	28
341	51
342	19
343	37
344	42
345	19
346	24
347	51
348	28
349	28
350	24
351	28
352	2
353	17
354	51
355	55
356	44
357	19
358	50
359	19
360	13
361	8
362	28
363	51
364	37
365	16
366	24
367	3
368	18
369	55
370	48
371	13
372	19
373	29
374	34
375	13
376	44
377	24
378	46
379	1
380	51
381	56
382	25
383	18
384	49
385	28
386	49
387	18
388	28
389	24
390	19
391	46
392	50
393	40
394	4
395	19
396	54
397	29
398	56
399	37
400	28
401	31
402	38
403	31
404	19
405	17
406	35
407	41
408	24
409	56
410	18
411	52
412	28
413	41
414	24
415	51
416	27
417	4
418	29
419	48
420	28
421	41
422	42
423	56
424	46
425	47
426	44
427	42
428	19
429	19
430	24
431	8
432	34
433	32
